CMTE_ID,CMTE_NM,CONNECTED_ORG_NM,CMTE_TP,ORG_TP,committee_name_clean,TOTAL_AMOUNT,HAS_DONATED,FIRST_CYCLE,LAST_CYCLE
C00109165,LOUISIANA-PACIFIC CORP FEDERAL PAC,LOUISIANA-PACIFIC CORPORATION,Q,C,louisiana pacific corp federal,37067.3,true,2020,2026
C00109546,VALERO ENERGY CORPORATION POLITICAL ACTION COMMITTEE,VALERO ENERGY CORPORATION,Q,C,valero energy corporation,80000.0,true,2024,2026
C00110262,BRUNSWICK CORPORATION GOOD GOVERNMENT FUND,BRUNSWICK CORPORATION,Q,C,brunswick corporation good government,0.0,False,,
C00110478,PEABODY ENERGY CORPORATION POLITICAL ACTION COMMITTEE  (PEABODY PAC),PEABODY ENERGY CORPORATION,Q,C,peabody energy corporation peabody,111500.0,true,2016,2024
C00110577,"LINCOLN NATIONAL CORPORATION POLITICAL ACTION COMMITTEE (AKA LINCOLN FINANCIAL GROUP POLITICAL ACTION COMMITTEE, LFGPAC)",LINCOLN NATIONAL CORPORATION,Q,C,lincoln national corporation aka lincoln financial group lfgpac,0.0,False,,
C00111104,THE NEWHALL LAND AND FARMING COMPANY POLITICAL ACTION COMMITTEE,THE NEWHALL LAND AND FARMING COMPANY,Q,C,newhall land farming company,0.0,False,,
C00111310,EVERGY EMPLOYEE POWERPAC,EVERGY AND ITS SUBSIDIARIES,Q,C,evergy employee powerpac,54207.12,true,2020,2026
C00111559,CREDIT SUISSE SECURITIES (USA) LLC POLITICAL ACTION COMMITTEE,CREDIT SUISSE SECURITIES (USA) LLC,Q,C,credit suisse securities usa llc,0.0,False,,
C00112896,CONOCOPHILLIPS SPIRIT PAC,CONOCOPHILLIPS,Q,C,conocophillips spirit,352500.0,true,2016,2026
C00113159,EASTMANPAC-POLITICAL ACTION COMMITTEE OF EASTMAN CHEMICAL COMPANY,EASTMAN CHEMICAL COMPANY,Q,C,eastmanpac eastman chemical company,509000.0,true,2016,2026
C00114702,OCEAN SPRAY CRANBERRIES INC. POLITICAL ACTION COMMITTEE,"OCEAN SPRAY CRANBERRIES, INC",Q,C,ocean spray cranberries inc,0.0,False,,
C00115568,INTERNATIONAL UNION OF OPERATING ENGINEERS LOCAL 4 SOCIAL ACTION COMMITTEE-FEDERAL,INTERNATIONAL UNION OF OPERATING ENGINEERS LOCAL 4,Q,C,international union operating engineers local 4 social federal,0.0,False,,
C00116996,LENNOX EMPLOYEE ADVOCACY PROGRAM LENNOX INTERNATIONAL INC,NONE,Q,C,lennox employee advocacy program lennox international inc,0.0,False,,
C00117424,WESTROCK POLITICAL ACTION COMMITTEE,WESTROCK COMPANY,Q,C,westrock,0.0,False,,
C00118703,GATX CORPORATION GOOD GOVERNMENT PROGRAM,GATX CORPORATION,Q,C,gatx corporation good government program,0.0,False,,
C00119008,WASTE MANAGEMENT EMPLOYEES BETTER GOVERNMENT FUND,WASTE MANAGEMENT,Q,C,waste management better government,3500.0,true,2016,2018
C00119354,TENET HEALTHCARE CORPORATION POLITICAL ACTION COMMITTEE,TENET HEALTHCARE CORPORATION,Q,C,tenet healthcare corporation,94500.0,true,2016,2026
C00120006,"SECURIAN, INC PAC","SECURIAN, INC",Q,C,securian inc,0.0,False,,
C00120873,J. R. SIMPLOT COMPANY POLITICAL ACTION COMMITTEE,J.R. SIMPLOT COMPANY,Q,C,j r simplot company,0.0,False,,
C00121277,KING RANCH INC POLITICAL ACTION COMMITTEE-FEDERAL,NONE,Q,C,king ranch inc federal,0.0,False,,
C00121368,EXXON MOBIL CORPORATION POLITICAL ACTION COMMITTEE (EXXONMOBIL PAC),EXXON MOBIL CORPORATION,Q,C,exxon mobil corporation exxonmobil,381950.0,true,2016,2024
C00123612,TEXTRON INC. POLITICAL ACTION COMMITTEE,BEECHCRAFT INC. POLITICAL ACTION COMMITTEE (BEECHCRAFT PAC),Q,C,textron inc,670007.99,true,2016,2026
C00125641,INTEL CORPORATION EMPLOYEE GOVERNMENT ACTION FUND,INTEL CORPORATION,Q,C,intel corporation employee government,0.0,False,,
C00126789,LONE ROCK TIMBER MANAGEMENT COMPANY POLITICAL ACTION COMMITTEE (LONE ROCK PAC),LONE ROCK TIMBER MANAGEMENT CO,Q,C,lone rock timber management company lone rock,0.0,False,,
C00126847,KAMAN CORP. GOOD GOVT. FUND,KAMAN CORP.,Q,C,kaman corp good govt,0.0,False,,
C00127258,"AIR PRODUCTS AND CHEMICALS, INC. POLITICAL ALLIANCE","AIR PRODUCTS AND CHEMICALS, INC.",Q,C,air products chemicals inc alliance,30000.0,true,2016,2020
C00127779,PRUDENTIAL FINANCIAL INC. FEDERAL POLITICAL ACTION COMMITTEE (AKA - PRUDENTIAL FEDERAL PAC),"PRUDENTIAL FINANCIAL, INC.",Q,C,prudential financial inc federal aka prudential federal,30500.0,true,2016,2020
C00128512,JPMORGAN CHASE & CO. PAC,JPMORGAN CHASE & CO. FEDERAL POLITICAL ACTION COMMITTEE,Q,C,jpmorgan chase co,23500.0,true,2016,2022
C00128918,PRINCIPAL LIFE INSURANCE COMPANY POLITICAL ACTION COMMITTEE,PRINCIPAL LIFE INSURANCE COMPANY,Q,C,principal life insurance company,0.0,False,,
C00129122,"AEROJET ROCKETDYNE, INC PAC",AEROJET ROCKETDYNE INC.,Q,C,aerojet rocketdyne inc,0.0,False,,
