company,company_norm,ticker_candidates_str
FEDERAL HOME LOAN MORTGAGE CORP,FEDERAL HOME LOAN MORTGAGE,FMCC|FMCCG|FMCCH|FMCCI|FMCCJ|FMCCK|FMCCL|FMCCM|FMCCN|FMCCO|FMCCP|FMCCS|FMCCT|FMCKI|FMCKJ|FMCKK|FMCKL|FMCKM|FMCKN|FMCKO|FMCKP|FREGP|FREJN|FREJO|FREJP
FEDERAL REALTY INVESTMENT TRUST,FEDERAL REALTY INVESTMENT TRUST,FRT|FRT.PRC
FIFTH THIRD BANCORP,FIFTH THIRD BANCORP,FITB|FITBI|FITBO|FITBP
FINANCIAL INSTITUTIONS INC,FINANCIAL INSTITUTIONS,FIISO|FIISP|FISI
FIRST BANCORP /NC/,FIRST BANCORP,FBP|FNLC
FIRST BANCORP /PR/,FIRST BANCORP,FBP|FNLC
"First Bancorp, Inc /ME/",FIRST BANCORP,FBP|FNLC
FIRST BUSEY CORP /NV/,FIRST BUSEY,BUSE|BUSEP
FIRST FINANCIAL CORP /IN/,FIRST FINANCIAL,FFHMY|THFF
"First Guaranty Bancshares, Inc.",FIRST GUARANTY BANCSHARES,FGBI|FGBIP
FIRST HORIZON CORP,FIRST HORIZON,FHN|FHN.PRC|FHN.PRE|FHN.PRF
First Internet Bancorp,FIRST INTERNET BANCORP,INBK|INBKZ
Flag Ship Acquisition Corp,FLAG SHIP ACQUISITION,FSHP|FSHPR|FSHPU
"Fluent, Inc.",FLUENT,CNTMF|FLNT
"Fortress Biotech, Inc.",FORTRESS BIOTECH,FBIO|FBIOP
"Fossil Group, Inc.",FOSSIL,FOSL|FOSLL
Four Leaf Acquisition Corp,FOUR LEAF ACQUISITION,FORL|FORLU
Fox Corp,FOX,FOX|FOXA
"Franklin BSP Realty Trust, Inc.",FRANKLIN BSP REALTY TRUST,FBRT|FBRT.PRE
FULTON FINANCIAL CORP,FULTON FINANCIAL,FULT|FULTP
Future Vision II Acquisition Corp.,FUTURE VISION II ACQUISITION,FVN|FVNNR|FVNNU
FutureTech II Acquisition Corp.,FUTURETECH II ACQUISITION,FTII|FTIIU
GABELLI MULTIMEDIA TRUST INC.,GABELLI MULTIMEDIA TRUST,GGT|GGT.PRE|GGT.PRG
GENESIS ENERGY LP,GENESIS ENERGY,GEL|GNEYF
GEO GROUP INC,GEO,GEO|GEOHF
GigCapital7 Corp.,GIGCAPITAL7,GIG|GIGGU
GLADSTONE COMMERCIAL CORP,GLADSTONE COMMERCIAL,GOOD|GOODN|GOODO
GLADSTONE LAND Corp,GLADSTONE LAND,LAND|LANDM|LANDO|LANDP
Global Crossing Airlines Group Inc.,GLOBAL CROSSING AIRLINES,JETBF|JETMF
Global Medical REIT Inc.,GLOBAL MEDICAL REIT,GMRE|GMRE.PRA
"Global Net Lease, Inc.",GLOBAL NET LEASE,GNL|GNL.PRA|GNL.PRB|GNL.PRD|GNL.PRE
GLOBAL PARTNERS LP,GLOBAL PARTNERS,GLP|GLP.PRB
GLOBAL TECHNOLOGIES LTD,GLOBAL TECHNOLOGIES,GTGP|GTLL
GLOBALINK INVESTMENT INC.,GLOBALINK INVESTMENT,GLLI|GLLIR|GLLIU
GLOBE LIFE INC.,GLOBE LIFE,GL|GL.PRD
Goal Acquisitions Corp.,GOAL ACQUISITIONS,PUCK|PUCKU
Goldenstone Acquisition Ltd.,GOLDENSTONE ACQUISITION,GDST|GDSTR|GDSTU
GOLDMAN SACHS GROUP INC,GOLDMAN SACHS,GS|GS.PRA|GS.PRC|GS.PRD|GSCE
GP-Act III Acquisition Corp.,GP ACT III ACQUISITION,GPAT|GPATU
Graf Global Corp.,GRAF GLOBAL,GRAF|GRAF.U
GRAHAM CORP,GRAHAM,GHC|GHM
Granite Point Mortgage Trust Inc.,GRANITE POINT MORTGAGE TRUST,GPMT|GPMT.PRA
Great Elm Capital Corp.,GREAT ELM CAPITAL,GECC|GECCI|GECCO
Greenidge Generation Holdings Inc.,GREENIDGE GENERATION,GREE|GREEL
"GREIF, INC",GREIF,GEF|GEF.B
HANCOCK WHITNEY CORP,HANCOCK WHITNEY,HWC|HWCPZ
HAVERTY FURNITURE COMPANIES INC,HAVERTY FURNITURE COMPANIES,HVT|HVT.A
Haymaker Acquisition Corp. 4,HAYMAKER ACQUISITION CORP 4,HYAC|HYAC.U
HECLA MINING CO/DE/,HECLA MINING,HL|HL.PRB
HEICO CORP,HEICO,HEI|HEI.A
HENNESSY ADVISORS INC,HENNESSY ADVISORS,HNNA|HNNAZ
"Hepion Pharmaceuticals, Inc.",HEPION PHARMACEUTICALS,CTRVP|HEPA
"Hercules Capital, Inc.",HERCULES CAPITAL,HCXY|HTGC
Hewlett Packard Enterprise Co,HEWLETT PACKARD ENTERPRISE,HPE|HPE.PRC
Horizon Space Acquisition II Corp.,HORIZON SPACE ACQUISITION II,HSPT|HSPTR|HSPTU
Horizon Technology Finance Corp,HORIZON TECHNOLOGY FINANCE,HRZN|HTFB|HTFC
HOVNANIAN ENTERPRISES INC,HOVNANIAN ENTERPRISES,HOV|HOVNP|HOVVB
Howmet Aerospace Inc.,HOWMET AEROSPACE,HWM|HWM.PR
"Hudson Pacific Properties, Inc.",HUDSON PACIFIC PROPERTIES,HPP|HPP.PRC
HUNTINGTON BANCSHARES INC /MD/,HUNTINGTON BANCSHARES,HBAN|HBANL|HBANM|HBANP
"Hyperscale Data, Inc.",HYPERSCALE DATA,GPUS|GPUS.PRD
IB Acquisition Corp.,IB ACQUISITION,IBAC|IBACR
Inception Growth Acquisition Ltd,INCEPTION GROWTH ACQUISITION,IGTA|IGTAR|IGTAU
INNOVATIVE INDUSTRIAL PROPERTIES INC,INNOVATIVE INDUSTRIAL PROPERTIES,IIPR|IIPR.PRA
Integral Acquisition Corp 1,INTEGRAL ACQUISITION CORP 1,INTE|INTEU
INTEGRATED RAIL & RESOURCES ACQUISITION CORP,INTEGRATED RAIL AND RESOURCES ACQUISITION,IRRX|IRRXU
International Media Acquisition Corp.,INTERNATIONAL MEDIA ACQUISITION,IMAQ|IMAQR|IMAQU
INTERNATIONAL PAPER CO /NEW/,INTERNATIONAL PAPER,INPAP|IP
Invesco Mortgage Capital Inc.,INVESCO MORTGAGE CAPITAL,IVR|IVR.PRC
"Investview, Inc.",INVESTVIEW,INVU|INVUP
Israel Acquisitions Corp,ISRAEL ACQUISITIONS,ISRL|ISRLU
Jackson Acquisition Co II,JACKSON ACQUISITION CO II,JACS|JACS.U
Jackson Financial Inc.,JACKSON FINANCIAL,JXN|JXN.PRA
"JOHN WILEY & SONS, INC.",JOHN WILEY AND SONS,WLY|WLYB
JPMORGAN CHASE & CO,JPMORGAN CHASE AND,JPM|JPM.PRC|JPM.PRD|JPM.PRJ|JPM.PRK|JPM.PRL|JPM.PRM
KELLY SERVICES INC,KELLY SERVICES,KELYA|KELYB
KEMPER Corp,KEMPER,KMPB|KMPR
KEYCORP /NEW/,KEYCORP,KEY|KEY.PRI|KEY.PRJ|KEY.PRK|KEY.PRL
KIMCO REALTY CORP,KIMCO REALTY,KIM|KIM.PRL|KIM.PRM|KIM.PRN
KKR Real Estate Finance Trust Inc.,KKR REAL ESTATE FINANCE TRUST,KREF|KREF.PRA
Launch One Acquisition Corp.,LAUNCH ONE ACQUISITION,LPAA|LPAAU
Legato Merger Corp. III,LEGATO MERGER CORP III,LEGT|LEGT.U
LENNAR CORP /NEW/,LENNAR,LEN|LEN.B
Liberty Energy Inc.,LIBERTY ENERGY,LBRT|LBYE
Liberty Global Ltd.,LIBERTY GLOBAL,LBTYA|LBTYB|LBTYK
Liberty Latin America Ltd.,LIBERTY LATIN AMERICA,LILA|LILAB|LILAK
"Life360, Inc.",LIFE360,LIF|LIFX
"LifeMD, Inc.",LIFEMD,LFMD|LFMDP
LIGAND PHARMACEUTICALS INC,LIGAND PHARMACEUTICALS,LGND|LGNDZ|LGNXZ|LGNYZ|LGNZZ
"Light & Wonder, Inc.",LIGHT AND WONDER,LAWIL|LNW
LINCOLN NATIONAL CORP,LINCOLN NATIONAL,LNC|LNC.PRD
Lionheart Holdings,LIONHEART,CUB|CUBWU
"Live Oak Bancshares, Inc.",LIVE OAK BANCSHARES,LOB|LOB.PRA
"Lument Finance Trust, Inc.",LUMENT FINANCE TRUST,LFT|LFT.PRA
LXP Industrial Trust,LXP INDUSTRIAL TRUST,LXP|LXP.PRC
M&T BANK CORP,M AND T BANK,MTB|MTB.PRH|MTB.PRJ
M3-Brigade Acquisition V Corp.,M3 BRIGADE ACQUISITION V,MBAV|MBAVU
"MainStreet Bancshares, Inc.",MAINSTREET BANCSHARES,MNSB|MNSBP
Maquia Capital Acquisition Corp,MAQUIA CAPITAL ACQUISITION,MAQC|MAQCU
Marblegate Acquisition Corp.,MARBLEGATE ACQUISITION,GATE|GATEU
MCCORMICK & CO INC,MCCORMICK AND,MKC|MKC.V
