company,company_norm,looks_like_fund_or_etf
"Endo, Inc.",ENDO,False
"ENERGY FOCUS, INC/DE",ENERGY FOCUS INC DE,False
"Enfusion, Inc.",ENFUSION,False
"EnLink Midstream, LLC",ENLINK MIDSTREAM,False
Enstar Group LTD,ENSTAR,False
"ENTERGY MISSISSIPPI, LLC",ENTERGY MISSISSIPPI,False
ENZO BIOCHEM INC,ENZO BIOCHEM,False
Equity Commonwealth,EQUITY COMMONWEALTH,False
ESSA Pharma Inc.,ESSA PHARMA,False
Eterna Therapeutics Inc.,ETERNA THERAPEUTICS,False
EVANS BANCORP INC,EVANS BANCORP,False
Everest Consolidator Acquisition Corp,EVEREST CONSOLIDATOR ACQUISITION,False
Evergreen Corp,EVERGREEN,False
Everi Holdings Inc.,EVERI,False
"EXPRESS, INC.",EXPRESS,False
EXPRO GROUP HOLDINGS N.V.,EXPRO GROUP HOLDINGS N V,False
"EYENOVIA, INC.",EYENOVIA,False
EzFill Holdings Inc,EZFILL,False
FARMER BROTHERS CO,FARMER BROTHERS,False
"FARMHOUSE, INC. /NV",FARMHOUSE INC NV,False
FARO TECHNOLOGIES INC,FARO TECHNOLOGIES,False
Finnovate Acquisition Corp.,FINNOVATE ACQUISITION,False
FIRST BANCSHARES INC /MS/,FIRST BANCSHARES,False
FIRST CITIZENS BANCSHARES INC /DE/,FIRST CITIZENS BANCSHARES,False
FIRST COMMUNITY CORP /SC/,FIRST COMMUNITY,False
"First Financial Northwest, Inc.",FIRST FINANCIAL NORTHWEST,False
FIRST OF LONG ISLAND CORP,FIRST OF LONG ISLAND,False
FLANIGANS ENTERPRISES INC,FLANIGANS ENTERPRISES,False
Focus Impact BH3 Acquisition Co,FOCUS IMPACT BH3 ACQUISITION,False
"FOOT LOCKER, INC.",FOOT LOCKER,False
Fortune Rise Acquisition Corp,FORTUNE RISE ACQUISITION,False
FORWARD AIR CORP,FORWARD AIR,False
"Forza X1, Inc.",FORZA X1,False
FOSTER L B CO,FOSTER L B,False
Franklin Templeton Digital Holdings Trust,FRANKLIN TEMPLETON DIGITAL HOLDINGS TRUST,True
"Fresh Vine Wine, Inc.",FRESH VINE WINE,False
"FREYR Battery, Inc. /DE/",FREYR BATTERY,False
FS Credit Income Fund,FS CREDIT INCOME FUND,True
FTAC Emerald Acquisition Corp.,FTAC EMERALD ACQUISITION,False
fuboTV Inc. /FL,FUBOTV INC FL,False
FULLER H B CO,FULLER H B,False
Fundamental Global Inc.,FUNDAMENTAL GLOBAL,False
Galaxy Enterprises Inc. /WY/,GALAXY ENTERPRISES,False
"GALAXY NEXT GENERATION, INC.",GALAXY NEXT GENERATION,False
"Gatos Silver, Inc.",GATOS SILVER,False
GEORGIA POWER CO,GEORGIA POWER,False
GLADSTONE INVESTMENT CORPORATION\DE,GLADSTONE INVESTMENT CORPORATION DE,False
GLOBAL ACQUISITIONS Corp,GLOBAL ACQUISITIONS,False
Global Blockchain Acquisition Corp.,GLOBAL BLOCKCHAIN ACQUISITION,False
Global Lights Acquisition Corp,GLOBAL LIGHTS ACQUISITION,False
