CONNECTED_ORG_NM,pac_count,active_pac_count,has_any_pac_donated,total_pac_amount,has_pac,has_pac_donations
"FIDELITY NATIONAL INFORMATION SYSTEMS, INC.",1,1,True,11283.65,True,True
FIFTH THIRD BANCORP,1,1,True,1500.0,True,True
"FIRST COLONIES ANESTHESIA ASSOCIATES, LLC",1,0,False,0.0,True,False
FIRST COMMAND FINANCIAL PLANNING INC.,1,0,False,0.0,True,False
FIRST HAWAIIAN BANK CITIZENSHIP COMMITTEE,1,0,False,0.0,True,False
FIRST HORIZON CORPORATION,2,0,False,0.0,True,False
FIRST MIDWEST BANCORP INC GOVERNMENT AFFAIRS FUND,1,0,False,0.0,True,False
FIRST NATIONAL OF NEBRASKA INC,1,0,False,0.0,True,False
FIRST SOLAR INC.,1,0,False,0.0,True,False
"FIRSTCASH, INC.",1,0,False,0.0,True,False
FIRSTENERGY CORP.,1,1,True,8000.0,True,True
"FLIR SYSTEMS, INC.",1,1,True,2000.0,True,True
"FLORIDA EAST COAST INDUSTRIES, LLC",1,0,False,0.0,True,False
FLORIDA RIGHT TO LIFE INC,1,0,False,0.0,True,False
FLOWERS FOODS INC.,1,0,False,0.0,True,False
FLUOR CORPORATION,1,0,False,0.0,True,False
FMC CORPORATION,1,0,False,0.0,True,False
FORD MOTOR COMPANY,1,1,True,12481.39,True,True
FOX CORPORATION,1,0,False,0.0,True,False
FRAMATOME INC.,1,0,False,0.0,True,False
FREEPORT-MCMORAN INC.,1,1,True,245950.03,True,True
FRESENIUS MEDICAL CARE NORTH AMERICA,1,0,False,0.0,True,False
"FUELCELL ENERGY, INC.",1,0,False,0.0,True,False
"GANNETT FLEMING, INC.",1,0,False,0.0,True,False
GAP INC.,1,0,False,0.0,True,False
GATX CORPORATION,1,0,False,0.0,True,False
GCI COMMUNICATION CORP.,1,0,False,0.0,True,False
GENENTECH INC.,1,0,False,0.0,True,False
GENERAL DYNAMICS CORPORATION,1,0,False,0.0,True,False
GENERAL ELECTRIC COMPANY,1,0,False,0.0,True,False
"GENERAL MILLS, INC.",1,1,True,2400.0,True,True
GENERAL MOTORS COMPANY,1,1,True,247780.0,True,True
GENESIS HEALTHCARE INC.,1,0,False,0.0,True,False
GENTIVA HEALTH SERVICES INC,1,0,False,0.0,True,False
GEORGIA OILMEN'S ASSOC INC,1,0,False,0.0,True,False
GERDAU AMERISTEEL US INC.,1,0,False,0.0,True,False
"GIANT EAGLE, INC.",1,0,False,0.0,True,False
GIBBONS P.C.,1,0,False,0.0,True,False
"GILEAD SCIENCES, INC.",1,1,True,570511.0,True,True
GLAXOSMITHKLINE LLC,1,0,False,0.0,True,False
GLOBAL MEDICAL RESPONSE INC.,1,0,False,0.0,True,False
"GLOBAL PAYMENTS, INC.",1,1,True,57000.0,True,True
GLOBE LIFE INC.,1,1,True,1000.0,True,True
