company,company_norm,ticker_candidates_str,TICKER_COMMON
Hewlett Packard Enterprise Co,HEWLETT PACKARD ENTERPRISE,HPE|HPE.PRC,HPE
Horizon Space Acquisition II Corp.,HORIZON SPACE ACQUISITION II,HSPT|HSPTR|HSPTU,HSPT
Horizon Technology Finance Corp,HORIZON TECHNOLOGY FINANCE,HRZN|HTFB|HTFC,HRZN
HOVNANIAN ENTERPRISES INC,HOVNANIAN ENTERPRISES,HOV|HOVNP|HOVVB,HOV
Howmet Aerospace Inc.,HOWMET AEROSPACE,HWM|HWM.PR,HWM
"Hudson Pacific Properties, Inc.",HUDSON PACIFIC PROPERTIES,HPP|HPP.PRC,HPP
HUNTINGTON BANCSHARES INC /MD/,HUNTINGTON BANCSHARES,HBAN|HBANL|HBANM|HBANP,HBAN
"Hyperscale Data, Inc.",HYPERSCALE DATA,GPUS|GPUS.PRD,GPUS
IB Acquisition Corp.,IB ACQUISITION,IBAC|IBACR,IBAC
Inception Growth Acquisition Ltd,INCEPTION GROWTH ACQUISITION,IGTA|IGTAR|IGTAU,IGTA
INNOVATIVE INDUSTRIAL PROPERTIES INC,INNOVATIVE INDUSTRIAL PROPERTIES,IIPR|IIPR.PRA,IIPR
Integral Acquisition Corp 1,INTEGRAL ACQUISITION CORP 1,INTE|INTEU,INTE
INTEGRATED RAIL & RESOURCES ACQUISITION CORP,INTEGRATED RAIL AND RESOURCES ACQUISITION,IRRX|IRRXU,IRRX
International Media Acquisition Corp.,INTERNATIONAL MEDIA ACQUISITION,IMAQ|IMAQR|IMAQU,IMAQ
INTERNATIONAL PAPER CO /NEW/,INTERNATIONAL PAPER,INPAP|IP,INPAP
Invesco Mortgage Capital Inc.,INVESCO MORTGAGE CAPITAL,IVR|IVR.PRC,IVR
"Investview, Inc.",INVESTVIEW,INVU|INVUP,INVU
Israel Acquisitions Corp,ISRAEL ACQUISITIONS,ISRL|ISRLU,ISRL
Jackson Acquisition Co II,JACKSON ACQUISITION CO II,JACS|JACS.U,JACS
Jackson Financial Inc.,JACKSON FINANCIAL,JXN|JXN.PRA,JXN
"JOHN WILEY & SONS, INC.",JOHN WILEY AND SONS,WLY|WLYB,WLY
JPMORGAN CHASE & CO,JPMORGAN CHASE AND,JPM|JPM.PRC|JPM.PRD|JPM.PRJ|JPM.PRK|JPM.PRL|JPM.PRM,JPM
KELLY SERVICES INC,KELLY SERVICES,KELYA|KELYB,KELYA
KEMPER Corp,KEMPER,KMPB|KMPR,KMPB
KEYCORP /NEW/,KEYCORP,KEY|KEY.PRI|KEY.PRJ|KEY.PRK|KEY.PRL,KEY
KIMCO REALTY CORP,KIMCO REALTY,KIM|KIM.PRL|KIM.PRM|KIM.PRN,KIM
KKR Real Estate Finance Trust Inc.,KKR REAL ESTATE FINANCE TRUST,KREF|KREF.PRA,KREF
Launch One Acquisition Corp.,LAUNCH ONE ACQUISITION,LPAA|LPAAU,LPAA
Legato Merger Corp. III,LEGATO MERGER CORP III,LEGT|LEGT.U,LEGT
LENNAR CORP /NEW/,LENNAR,LEN|LEN.B,LEN
Liberty Energy Inc.,LIBERTY ENERGY,LBRT|LBYE,LBRT
Liberty Global Ltd.,LIBERTY GLOBAL,LBTYA|LBTYB|LBTYK,LBTYA
Liberty Latin America Ltd.,LIBERTY LATIN AMERICA,LILA|LILAB|LILAK,LILA
"Life360, Inc.",LIFE360,LIF|LIFX,LIF
"LifeMD, Inc.",LIFEMD,LFMD|LFMDP,LFMD
LIGAND PHARMACEUTICALS INC,LIGAND PHARMACEUTICALS,LGND|LGNDZ|LGNXZ|LGNYZ|LGNZZ,LGND
"Light & Wonder, Inc.",LIGHT AND WONDER,LAWIL|LNW,LAWIL
LINCOLN NATIONAL CORP,LINCOLN NATIONAL,LNC|LNC.PRD,LNC
Lionheart Holdings,LIONHEART,CUB|CUBWU,CUB
"Live Oak Bancshares, Inc.",LIVE OAK BANCSHARES,LOB|LOB.PRA,LOB
"Lument Finance Trust, Inc.",LUMENT FINANCE TRUST,LFT|LFT.PRA,LFT
LXP Industrial Trust,LXP INDUSTRIAL TRUST,LXP|LXP.PRC,LXP
M&T BANK CORP,M AND T BANK,MTB|MTB.PRH|MTB.PRJ,MTB
M3-Brigade Acquisition V Corp.,M3 BRIGADE ACQUISITION V,MBAV|MBAVU,MBAV
"MainStreet Bancshares, Inc.",MAINSTREET BANCSHARES,MNSB|MNSBP,MNSB
Maquia Capital Acquisition Corp,MAQUIA CAPITAL ACQUISITION,MAQC|MAQCU,MAQC
Marblegate Acquisition Corp.,MARBLEGATE ACQUISITION,GATE|GATEU,GATE
MCCORMICK & CO INC,MCCORMICK AND,MKC|MKC.V,MKC
Merchants Bancorp,MERCHANTS BANCORP,MBIN|MBINL|MBINM|MBINN,MBIN
METLIFE INC,METLIFE,MET|MET.PRA|MET.PRE|MET.PRF,MET
"MFA FINANCIAL, INC.",MFA FINANCIAL,MFA|MFA.PRB|MFA.PRC|MFAN|MFAO,MFA
MICROCHIP TECHNOLOGY INC,MICROCHIP TECHNOLOGY,MCHP|MCHPP,MCHP
MID AMERICA APARTMENT COMMUNITIES INC.,MID AMERICA APARTMENT COMMUNITIES,MAA|MAA.PRI,MAA
MidCap Financial Investment Corp,MIDCAP FINANCIAL INVESTMENT,MFIC|MFICL,MFIC
"Midland States Bancorp, Inc.",MIDLAND STATES BANCORP,MSBI|MSBIP,MSBI
"MODIV INDUSTRIAL, INC.",MODIV INDUSTRIAL,MDV|MDV.PRA,MDV
MOLSON COORS BEVERAGE CO,MOLSON COORS BEVERAGE,TAP|TAP.A,TAP
MOOG INC.,MOOG,MOG.A|MOG.B,MOG.A
MORGAN STANLEY,MORGAN STANLEY,MS|MS.PRA|MS.PRE|MS.PRF|MS.PRI|MS.PRK|MS.PRL|MS.PRO|MS.PRP|MS.PRQ,MS
Mountain Crest Acquisition Corp. V,MOUNTAIN CREST ACQUISITION CORP V,MCAG|MCAGR|MCAGU,MCAG
Mountain Lake Acquisition Corp.,MOUNTAIN LAKE ACQUISITION,MLAC|MLACR|MLACU,MLAC
MOVADO GROUP INC,MOVADO,MOV|MOVAA,MOV
Nabors Energy Transition Corp. II,NABORS ENERGY TRANSITION CORP II,NETD|NETDU,NETD
