company,company_norm
NEW YORK MORTGAGE TRUST INC,NEW YORK MORTGAGE TRUST
NewAmsterdam Pharma Co N.V.,NEWAMSTERDAM PHARMA CO N V
NFiniTi inc.,NFINITI
NORDSTROM INC,NORDSTROM
North Haven Private Income Fund LLC,NORTH HAVEN PRIVATE INCOME FUND
NorthView Acquisition Corp,NORTHVIEW ACQUISITION
NORTHWEST PIPE CO,NORTHWEST PIPE
Nowtransit Inc,NOWTRANSIT
"NV5 Global, Inc.",NV5 GLOBAL
NXP Semiconductors N.V.,NXP SEMICONDUCTORS N V
"Nxu, Inc.",NXU
Oaktree Acquisition Corp. III Life Sciences,OAKTREE ACQUISITION CORP III LIFE SCIENCES
OCA Acquisition Corp.,OCA ACQUISITION
OCULUS VISIONTECH INC.,OCULUS VISIONTECH
"Odyssey Health, Inc.",ODYSSEY HEALTH
Oil-Dri Corp of America,OIL DRI CORP OF AMERICA
OLD POINT FINANCIAL CORP,OLD POINT FINANCIAL
Olo Inc.,OLO
"Omega Therapeutics, Inc.",OMEGA THERAPEUTICS
Oncocyte Corp,ONCOCYTE
"Oncternal Therapeutics, Inc.",ONCTERNAL THERAPEUTICS
"OptiNose, Inc.",OPTINOSE
"ORGANOVO HOLDINGS, INC.",ORGANOVO
Orion Bliss Corp.,ORION BLISS
Orion Office REIT Inc.,ORION OFFICE REIT
Orion S.A.,ORION S A
Outbrain Inc.,OUTBRAIN
PACIFIC PREMIER BANCORP INC,PACIFIC PREMIER BANCORP
PACIFICORP /OR/,PACIFICORP
Pactiv Evergreen Inc.,PACTIV EVERGREEN
"PALTALK, INC.",PALTALK
PAPA JOHNS INTERNATIONAL INC,PAPA JOHNS INTERNATIONAL
"Pathfinder Bancorp, Inc.",PATHFINDER BANCORP
"PATTERSON COMPANIES, INC.",PATTERSON COMPANIES
"PAYCOR HCM, INC.",PAYCOR HCM
PENNS WOODS BANCORP INC,PENNS WOODS BANCORP
Perception Capital Corp. IV,PERCEPTION CAPITAL CORP IV
PHOENIX MOTOR INC.,PHOENIX MOTOR
Phoenix Plus Corp.,PHOENIX PLUS
PHX MINERALS INC.,PHX MINERALS
Piedmont Lithium Inc.,PIEDMONT LITHIUM
"Piedmont Office Realty Trust, Inc.",PIEDMONT OFFICE REALTY TRUST
"PIERIS PHARMACEUTICALS, INC.",PIERIS PHARMACEUTICALS
"Pinstripes Holdings, Inc.",PINSTRIPES
"Pioneer Bancorp, Inc./MD",PIONEER BANCORP INC MD
"PishPosh, Inc.",PISHPOSH
Playa Hotels & Resorts N.V.,PLAYA HOTELS AND RESORTS N V
"PlayAGS, Inc.",PLAYAGS
"PLBY Group, Inc.",PLBY
Plum Acquisition Corp. III,PLUM ACQUISITION CORP III
Portillo's Inc.,PORTILLO S
Portman Ridge Finance Corp,PORTMAN RIDGE FINANCE
"Poseida Therapeutics, Inc.",POSEIDA THERAPEUTICS
PowerUp Acquisition Corp.,POWERUP ACQUISITION
PREMIER FINANCIAL CORP,PREMIER FINANCIAL
Premium Nickel Resources Ltd.,PREMIUM NICKEL RESOURCES
PRICE T ROWE GROUP INC,PRICE T ROWE
PROFIRE ENERGY INC,PROFIRE ENERGY
PROGRESS SOFTWARE CORP /MA,PROGRESS SOFTWARE CORP MA
ProShares Trust II,PROSHARES TRUST II
"Protagenic Therapeutics, Inc.new",PROTAGENIC THERAPEUTICS INC NEW
PROTHENA CORP PUBLIC LTD CO,PROTHENA CORP PUBLIC
"Provident Bancorp, Inc. /MD/",PROVIDENT BANCORP
PUBLIC CO MANAGEMENT CORP,PUBLIC CO MANAGEMENT
PUBLIC SERVICE CO OF NEW MEXICO,PUBLIC SERVICE CO OF NEW MEXICO
"PURE BIOSCIENCE, INC.",PURE BIOSCIENCE
QUALCOMM INC/DE,QUALCOMM INC DE
R F INDUSTRIES LTD,R F INDUSTRIES
"RADIUS RECYCLING, INC.",RADIUS RECYCLING
Ranger Gold Corp.,RANGER GOLD
"RCM TECHNOLOGIES, INC.",RCM TECHNOLOGIES
Redfin Corp,REDFIN
"REGENEREX PHARMA, INC.",REGENEREX PHARMA
Regulus Therapeutics Inc.,REGULUS THERAPEUTICS
"Reliant Holdings, Inc.",RELIANT
RENOVARO INC.,RENOVARO
ReShape Lifesciences Inc.,RESHAPE LIFESCIENCES
"Resonate Blends, Inc.",RESONATE BLENDS
Restaurant Brands International Limited Partnership,RESTAURANT BRANDS INTERNATIONAL LIMITED PARTNERSHIP
RETAIL OPPORTUNITY INVESTMENTS CORP,RETAIL OPPORTUNITY INVESTMENTS
"Revance Therapeutics, Inc.",REVANCE THERAPEUTICS
"Revelyst, Inc.",REVELYST
RF Acquisition Corp.,RF ACQUISITION
Rithm Property Trust Inc.,RITHM PROPERTY TRUST
"Rocket Lab USA, Inc.",ROCKET LAB USA
"Rocky Mountain Chocolate Factory, Inc.",ROCKY MOUNTAIN CHOCOLATE FACTORY
Roth CH Acquisition V Co.,ROTH CH ACQUISITION V
"Royale Energy, Inc.",ROYALE ENERGY
RUSH ENTERPRISES INC TX,RUSH ENTERPRISES INC TX
"Sacks Parente Golf, Inc.",SACKS PARENTE GOLF
"Sage Therapeutics, Inc.",SAGE THERAPEUTICS
SANDY SPRING BANCORP INC,SANDY SPRING BANCORP
SANFILIPPO JOHN B & SON INC,SANFILIPPO JOHN B AND SON
SCHLUMBERGER LIMITED/NV,SCHLUMBERGER LIMITED NV
SCHWAB CHARLES CORP,SCHWAB CHARLES
scPharmaceuticals Inc.,SCPHARMACEUTICALS
SEACOAST BANKING CORP OF FLORIDA,SEACOAST BANKING CORP OF FLORIDA
SEALED AIR CORP/DE,SEALED AIR CORP DE
SecureWorks Corp,SECUREWORKS
SERVOTRONICS INC /DE/,SERVOTRONICS
Shepherd Ave Capital Acquisition Corp,SHEPHERD AVE CAPITAL ACQUISITION
ShoulderUP Technology Acquisition Corp.,SHOULDERUP TECHNOLOGY ACQUISITION
"SHYFT GROUP, INC.",SHYFT
SIM Acquisition Corp. I,SIM ACQUISITION CORP I
"Singular Genomics Systems, Inc.",SINGULAR GENOMICS SYSTEMS
Six Flags Entertainment Corporation/NEW,SIX FLAGS ENTERTAINMENT CORPORATION NEW
SJW GROUP,SJW
SK Growth Opportunities Corp,SK GROWTH OPPORTUNITIES
SKECHERS USA INC,SKECHERS USA
SMARTSHEET INC,SMARTSHEET
"SMC Entertainment, Inc.",SMC ENTERTAINMENT
SMITH A O CORP,SMITH A O
SolarWinds Corp,SOLARWINDS
SOUTHERN CALIFORNIA EDISON Co,SOUTHERN CALIFORNIA EDISON
"Southern States Bancshares, Inc.",SOUTHERN STATES BANCSHARES
Southport Acquisition Corp,SOUTHPORT ACQUISITION
SouthState Corp,SOUTHSTATE
SpartanNash Co,SPARTANNASH
"Spirit Airlines, Inc.",SPIRIT AIRLINES
"SPORTSMAN'S WAREHOUSE HOLDINGS, INC.",SPORTSMAN S WAREHOUSE
"SpringWorks Therapeutics, Inc.",SPRINGWORKS THERAPEUTICS
"SRM Entertainment, Inc.",SRM ENTERTAINMENT
"Sterling Bancorp, Inc.",STERLING BANCORP
Stimcell Energetics Inc.,STIMCELL ENERGETICS
"STRATS SM TRUST FOR WAL-MART STORES, INC. SECURITIES, SERIES 2005-4",STRATS SM TRUST FOR WAL MART STORES INC SECURITIES SERIES 2005 4
