brand_raw,suggested_canonical,score
Byline Bank,Online Bank,81.81818181818181
Numerica Credit Union,Ent Credit Union,85.71428571428571
Veterinary Centers Of America,Bank Of America,80.0
Khol'S,Kohl'S,83.33333333333333
Cleveland Clinic,Clinic W,85.71428571428571
Credo Beauty,A Beauty,85.71428571428571
California Fish Grill,California Baby,80.0
Now Vitamins,I Herb Vitamins,80.0
Ohio University,Lehigh University,81.25
Juice Beauty,A Beauty,85.71428571428571
Laroche Posay,La Roche Posay,88.88888888888889
University Of Hartford,University Of Miami,81.25
In-And-Out Burger,My Burger,80.0
Duncan Doughnuts,Duncan Donuts,89.65517241379311
Thrive Causemetics,Thrive Cosmetics,88.23529411764706
Us Fitness,Eos Fitness,85.71428571428571
Genesee Brewing Company,Upland Brewing Company,81.08108108108108
Haus Brands,Rj Brands,80.0
The Hard Bean,The Human Bean,81.48148148148148
Hockers Markets,Dg Markets,82.35294117647058
Amazingclubs America'S #1 Gourmet Gifts Of The Month,Book Of The Month,82.75862068965517
Ziggys Coffee,Biggby Coffee,84.61538461538461
Barro'S Pizza,Barros Pizza,88.0
Creative Solutions In Healthcare,Moda Healthcare,80.0
Providence Insurance,Car Insurance,81.81818181818181
Tackle Warehouse,Abc Warehouse,81.81818181818181
True Earth,Earth Fare,80.0
Love Whole Foods,Whole Foods Market,81.48148148148148
Jet'S Pizza,Jets Pizza,85.71428571428571
Empower Financial,Lpl Financial,81.81818181818181
Appleton Express Mart,H Mart,80.0
Citadel Credit Union,Ent Credit Union,85.71428571428571
Mother Earth News,E News,80.0
24 Hour Fitness,Us Fitness,82.35294117647058
Tic Tok,Tik Tok,85.71428571428571
Trove,Grove,80.0
Orangetheory Fitness,Us Fitness,82.35294117647058
Fitness Connection,Us Fitness,82.35294117647058
Fenty Beauty,A Beauty,85.71428571428571
Heaven Hill Brands,Rj Brands,80.0
Full Sail University,Ohio University,80.0
Dallor General,Dollar General,85.71428571428571
Scouting America,Scouting Usa,80.0
Fitness 19,Club4 Fitness,82.35294117647058
Haro,Haribo,80.0
Mountain Mike'S,Mountain Dew,80.0
Hofman Hospitality Group,Frimex Hospitality Group,82.92682926829268
Rockstar Energy Drink,Ghost Energy Drink,82.05128205128204
Countrymax,Country Max,85.71428571428571
Johnson Wax,Johnson & Johnson,87.5
White Mountain Puzzles,Mountain Dew,80.0
Cronies,Frownies,80.0
Akira,Akria,80.0
What A Burger,My Burger,80.0
> > Marcus > >,Marcus By Goldman Sachs,85.71428571428571
Viking River Cruises,Viking Cruiises,80.0
Blick Or Dick Blick,Dick Blick Art Supplies,86.95652173913044
South University,Ohio University,80.0
On Footwear,Lacrosse Footwear,84.21052631578948
Killer Burger,Burgerville,83.33333333333333
Peerless Coffee,Peets Coffee,81.48148148148148
East Tennessee State University,Ohio University,80.0
Cole Hardware,Home Hardware,84.61538461538461
Autry Shoe Brands,Rj Brands,80.0
Kowalski'S Market,Kc Market,80.0
Devoted Health Care,United Health Care,81.08108108108108
Pella,Zella,80.0
Darn Tough Socks They Are,Darn Tough Vermont Socks,80.0
Colvers,Culvers,85.71428571428571
> > Arrowhead Credit Union > >,Ent Credit Union,85.71428571428571
Lemon 8,Lu Lu Lemon,83.33333333333333
Topolinos Italian Restaurant,Food Restaurant,80.0
Pinnacle Financial Partners,Lpl Financial,81.81818181818181
P.C. Richards,Pc Richards,84.21052631578948
Forum Credit Union,Ent Credit Union,85.71428571428571
Dairi-O,Dairi O,85.71428571428571
Vallarta Supermarkets,Ctown Supermarkets,80.0
Oxford Industries,Alen Industries,80.0
P.J. Whelihan'S Restaurant Chain,Food Restaurant,80.0
Dearborn Federal Credit Union,Navy Federal Credit Union,88.88888888888889
Sam'Sclub,Samsclub,82.35294117647058
