CMTE_ID,CMTE_NM,CONNECTED_ORG_NM,CMTE_TP,ORG_TP,committee_name_clean,TOTAL_AMOUNT,HAS_DONATED,FIRST_CYCLE,LAST_CYCLE
C00372979,RADIANCE TECHNOLOGIES INC. POLITICAL ACTION COMMITTEE,NONE,Q,C,radiance technologies inc,0.0,False,,
C00373217,PENSKE TRUCK LEASING CO LP POLITICAL ACTION COMMITTEE,PENSKE TRUCK LEASING CORPORATION,Q,C,penske truck leasing co lp,0.0,False,,
C00373837,GROUP 1 AUTOMOTIVE INC. PAC,GROUP 1 AUTOMOTIVE INC,Q,C,group 1 automotive inc,0.0,False,,
C00374066,"SMITH & NEPHEW, INC. PAC (S+N PAC)",NONE,Q,C,smith nephew inc s n,0.0,False,,
C00375568,ENGIE NORTH AMERICA INC. PAC (ENA PAC),ENGIE NORTH AMERICA,Q,C,engie north america inc ena,0.0,False,,
C00376863,WESTFIELD FEDERAL EMPLOYEE POLITICAL ACTION COMMITTEE OF OHIO FARMERS INSURANCE COMPANY,OHIO FARMERS INSURANCE COMPANY,Q,C,westfield federal employee ohio farmers insurance company,0.0,False,,
C00377044,AT&T INC./WARNERMEDIA LLC OHIO EMPLOYEE POLITICAL ACTION COMMITTEE (AT&T/WARNERMEDIA OHIO PAC),AT&T INC.,Q,C,at t inc warnermedia llc ohio employee at t warnermedia ohio,0.0,False,,
C00377168,FEMINIST MAJORITY PAC,FEMINIST MAJORITY,Q,C,feminist majority,0.0,False,,
C00378083,PRODUCERS RICE MILL INC PAC,PRODUCERS RICE MILL INC,Q,C,producers rice mill inc,0.0,False,,
C00378661,"BEALL'S PAC USA, INC.",BEALL'S INC.,Q,C,beall s usa inc,0.0,False,,
C00379420,CIT GROUP INC PAC (CIT PAC),CIT GROUP INC.,Q,C,cit group inc cit,0.0,False,,
C00379768,"EXPERIAN NORTH AMERICA, INC POLITICAL ACTION COMMITTEE (EXPERIAN PAC)",EXPERIAN NORTH AMERICA INC.,Q,C,experian north america inc experian,0.0,False,,
C00380527,"PERNOD RICARD USA, LLC POLITICAL ACTION COMMITTEE",PERNOD RICARD USA LLC,Q,C,pernod ricard usa llc,0.0,False,,
C00380535,VERIZON MEDIA/OATH INC. POLITICAL ACTION COMMITTEE (VERIZON MEDIA PAC),OATH INC.,Q,C,verizon media oath inc verizon media,0.0,False,,
C00383992,PERSPECTA INC. POLITICAL ACTION COMMITTEE (A.K.A. 'PERSPECTA PAC'),PERSPECTA INC.,Q,C,perspecta inc a k a perspecta,0.0,False,,
C00385120,"21ST CENTURY ONCOLOGY, INC. POLITICAL ACTION COMMITTEE","21ST CENTURY ONCOLOGY, INC",Q,C,21st century oncology inc,0.0,False,,
C00385849,EXELON CORPORATION-PEPCO HOLDINGS INC. POLITICAL ACTION COMMITTEE (PHI PAC),EXELON CORPORATION,Q,C,exelon corporation pepco holdings inc phi,0.0,False,,
C00385989,"ATKINS US HOLDINGS, INC. PAC","ATKINS US HOLDINGS, INC",Q,C,atkins us holdings inc,0.0,False,,
C00386128,GENTEX CORPORATION POLITICAL ACTION COMMITTEE; THE,GENTEX CORPORATION POLITICAL ACTION COMMITTEE; THE,Q,C,gentex corporation,0.0,False,,
C00387753,SECURITY FINANCE CORPORATION OF SPARTANBURG AND AFFILIATES POLITICAL ACTION COMMITTEE,SECURITY FINANCE CORPORATION OF SPARTANBURG,Q,C,security finance corporation spartanburg affiliates,0.0,False,,
C00387878,"ENERGYSOLUTIONS, INC. FUND FOR EFFECTIVE GOVERNMENT (ENERGYSOLUTIONS PAC)","ENERGYSOLUTIONS, INC.",Q,C,energysolutions inc effective government energysolutions,0.0,False,,
C00387894,GCI COMMUNICATION CORP. PAC (GCI PAC),GCI COMMUNICATION CORP.,Q,C,gci communication corp gci,0.0,False,,
C00388132,PRIDE MOBILITY PRODUCTS CORP PAC,PRIDE MOBILITY PRODUCTS CORP,Q,C,pride mobility products corp,0.0,False,,
C00388462,ITC HOLDINGS CORP. PAC (ITC PAC),ITC HOLDINGS CORP.,Q,C,itc holdings corp itc,0.0,False,,
C00388827,ROCK HOLDINGS INC. PAC,ROCK HOLDINGS INC.,Q,C,rock holdings inc,0.0,False,,
C00388983,ARCADIS U.S. INC. POLITICAL ACTION COMMITTEE (ARCADIS PAC),ARCADIS U.S. INC.,Q,C,arcadis u s inc arcadis,0.0,False,,
C00389288,CHESAPEAKE ENERGY CORPORATION FED PAC,CHESAPEAKE ENERGY CORPORATION,Q,C,chesapeake energy corporation fed,0.0,False,,
C00389429,CALPORTLAND COMPANY POLITICAL ACTION COMMITTEE (CALPORTLAND PAC),CALPORTLAND COMPANY,Q,C,calportland company calportland,0.0,False,,
C00389585,GLOBAL MEDICAL RESPONSE INC. POLITICAL ACTION COMMITTEE,GLOBAL MEDICAL RESPONSE INC.,Q,C,global medical response inc,0.0,False,,
C00390583,"BHFS-E, PC PAC (BROWNSTEIN HYATT FARBER SCHRECK POLITICAL ACTION COMMITTEE)","BHFS-E, PC",Q,C,bhfs e pc brownstein hyatt farber schreck,0.0,False,,
C00390963,ARDENT LEGACY HOLDINGS LLC GOOD GOVERNMENT FUND,ARDENT LEGACY HOLDINGS LLC,Q,C,ardent legacy holdings llc good government,0.0,False,,
C00391979,HERZOG PAC,HERZOG,Q,C,herzog,0.0,False,,
C00392464,UNIVERSAL MUSIC GROUP EMPLOYEE ACTION FUND,UNIVERSAL MUSIC GROUP,Q,C,universal music group employee,0.0,False,,
C00393173,COMERICA INCORPORATED POLTICAL ACTION COMMITTEE,COMERICA INCORPORATED,Q,C,comerica incorporated poltical,0.0,False,,
C00393298,HERBALIFE INTERNATIONAL INC. PAC,HERBALIFE INTERNATIONAL INC.,Q,C,herbalife international inc,0.0,False,,
C00394460,MCDONALD HOPKINS LLC PAC,MCDONALD HOPKINS LLC,Q,C,mcdonald hopkins llc,0.0,False,,
C00394650,JBS USA LLC PAC,JBS USA LLC,Q,C,jbs usa llc,0.0,False,,
C00395285,FRAMATOME INC PAC,FRAMATOME INC.,Q,C,framatome inc,0.0,False,,
C00397083,PROFESSIONAL ASSOCIATION FOR CUSTOMER ENGAGEMENT PAC,PROFESSIONAL ASSOCIATION FOR CUSTOMER ENGAGEMENT PAC,Q,C,professional association customer engagement,0.0,False,,
C00397554,WORTHINGTON INDUSTRIES PAC,WORTHINGTON INDUSTRIES,Q,C,worthington industries,0.0,False,,
C00397711,"MAGELLAN MIDSTREAM HOLDINGS GP, LLC POLITICAL ACTION COMMITTEE","MAGELLAN MIDSTREAM HOLDINGS GP, LLC",Q,C,magellan midstream holdings gp llc,0.0,False,,
C00397893,SSA MARINE INC. GOOD GOVERNMENT FUND,SSA MARINE INC.,Q,C,ssa marine inc good government,0.0,False,,
C00398271,ENVISION HEALTHCARE CORPORATION POLITICAL ACTION COMMITTEE,ENVISION HEALTHCARE CORPORATION,Q,C,envision healthcare corporation,0.0,False,,
C00400929,AMERISOURCEBERGEN CORPORATION POLITICAL ACTION COMMITTEE (ABC PAC),AMERISOURCEBERGEN CORPORATION,Q,C,amerisourcebergen corporation abc,0.0,False,,
C00401299,FRESENIUS MEDICAL CARE NORTH AMERICA PAC,FRESENIUS MEDICAL CARE NORTH AMERICA,Q,C,fresenius medical care north america,0.0,False,,
C00402107,CUNA MUTUAL HOLDING COMPANY POLITICAL ACTION COMMITTEE (CUNA MUTUAL PAC),CUNA MUTUAL HOLDING COMPANY,Q,C,cuna mutual holding company cuna mutual,0.0,False,,
C00402321,GREEN DIAMOND RESOURCE COMPANY POLITICAL ACTION COMMITTEE,SIMPSON INVESTMENT COMPANY POLITICAL ACTION COMMITTEE,Q,C,green diamond resource company,0.0,False,,
C00402545,VGM MANAGEMENT LTD PAC (VGMPAC),VGM MANAGEMENT LTD,Q,C,vgm management ltd vgmpac,0.0,False,,
C00402669,SERCO INC. POLITICAL ACTION COMMITTEE (SERCO PAC),SERCO INC.,Q,C,serco inc serco,0.0,False,,
C00405209,SCHAEFFLER GROUP USA INC POLITICAL ACTION COMMITTEE,NONE,Q,C,schaeffler group usa inc,0.0,False,,
C00406066,FIRST HORIZON CORPORATION LA FED PAC,FIRST HORIZON CORPORATION,Q,C,first horizon corporation la fed,0.0,False,,
C00406215,NATIONWIDE MUTUAL INSURANCE COMPANY FINANCIAL & INVESTMENTS POLITICAL ACTION COMMITTEE,NATIONWIDE MUTUAL INSURANCE COMPANY,Q,C,nationwide mutual insurance company financial investments,0.0,False,,
C00406801,AVANGRID POLITICAL ACTION COMMITTEE,AVANGRID,Q,C,avangrid,0.0,False,,
C00407080,GENTIVA HEALTH SERVICES INC PAC GENTIVAPAC,GENTIVA HEALTH SERVICES INC,Q,C,gentiva health services inc gentivapac,0.0,False,,
C00407437,COMPORIUM INC PAC,COMPORIUM INC,Q,C,comporium inc,0.0,False,,
C00409516,"DIRECT SUPPLY, INC. PARTNERS PAC (DSI PARTNERS PAC)","DIRECT SUPPLY, INC.",Q,C,direct supply inc partners dsi partners,0.0,False,,
